__file__,1.corporate_identity_number_cin,1.global_location_number_gln,2.name_of_the_company,2.address_of_the_registered_office,2.email_id_of_the_company,3.form_for_registration_of,4.applicant_is,5.date_of_instrument_creating_or_modifying_charge,5.nature_description_of_instrument,5.charge_created_or_modified_outside_india,6,7.charge_on,7.others_specify,8.consortium_finance_involved,8.joint_charge_involved,8.number_of_charge_holders,9.category,9.name,9.address.line1,9.address.line2,9.address.city,9.address.state,9.address.country,9.address.pin_code,9.address.iso_country_code,9.email_id,9.has_pan,9.pan,9.bsr_code_branch_code,10.amount_secured_by_charge_in_rs,10.amount_secured_by_charge_in_words,10.amount_in_foreign_currency_details,11.date_of_creating_security_interest,11.borrower_customer_account_number,11.rate_of_interest,11.repayment_term_in_months,11.terms_of_repayment,11.nature_of_facility,11.date_of_disbursement,11.miscellaneous_narrative_information,11.margin,11.extent_and_operation_of_the_charge,11.others,12.date_of_instrument_creating_or_evidencing_the_charge,12.description_of_the_instrument_creating_or_evidencing_the_charge,12.date_of_acquisition_of_the_property,12.amount_of_the_charge_in_rs,12.particulars_of_the_property_charged,13.short_particulars_of_property_or_assets_charged,14.number_of_title_documents_deposited_by_customer,15.is_property_not_registered_in_company_name,16.date_of_creation_or_last_modification_prior_to_present
10_Directors_report_as_per_section_134_3_-04032022.pdf,U85110TG1990PTC011527,,Aries Habitat Private Limited,"details 500016 E-Mail: arunbombay@gmail.com Telephone No.: 040-23732499 vi | Whether listed Company No vii |Name, Address & Contact details of the N.A Registrar & Transfer Agent, if any If. PRINCIPAL BUSINESS ACTIVITIES OF THE COMPANY All the business activities contributing 10% or more of the total turnover of the Company shall be stated SL. Name & Description of main NIC Code of the % of total turnover of No products/services Product / Service the Company N.A (Since NIL Operational Revenue) III. PARTICULARS OF HOLDING, SUBSIDIARY & ASSOCIATE COMPANIES SL. Name & Address ofthe |CIN/GLN Holding/Subsidiary/|% of | Applicable No | Company Associate Shares | Section Held | IV. SHAREHOLDING PATTERN (Equity Share Capital Break up as % to total equity) Category of Shareholders | No; of shares at the beginning of the year No; of Shares at the end of the year | Demat Physical | Total % of Total Shares | Demat |Physical | Total % of Total Shares | | A. Promoters (1) Indian a)Individual/HUF 40000 40000",arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Form_23B_for_period_010410_to_310311-051010.OCT.pdf,,,Aries Habitat Private Limited,,goud_7059@rediffmail.com,,,30/09/2010,,,,[],,,,,,,,,,ment of correctness given by the auditor,,500034,,,,,,,,,30/09/2010,,,,,,,,,,,,,,,,,,,
10_Form_AOC-4-04122017_signed.pdf,,,ASB PROJECTS LIMITED.,,accounts@ashokcosmosmall.com,,The Company,02/09/2017,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,02/09/2017,,,,,,,,,,,,,,,,,,,
10_Form_AOC-4-19042018_signed.pdf,,,ARIES HABITAT PRIVATE LIMITED,,arunbombay@gmail.com,,The Company,05/09/2017,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,05/09/2017,,,,,,,,,,,,,,,,,,,
10_Form_AOC-4-20072018_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,sethip@ipas.org,,The Company,20/06/2018,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,20/06/2018,,,,,,,,,,,,,,,,,,,
10_Form_AOC-4_XBRL_-07122017_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,vickyvishal@rediffmail.com,,,29/09/2017,,,,[],,,,,,,,,,ments,INDIA,225000,IN,,,,,,,,29/09/2017,,,,,,,,,,,,,,,,,,,
10_Form_DIR-12-16032017_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,vickyvishal@rediffmail.com,,,12/05/1959,,,,[],,,,,,,,,,,,,,,,,,,,,12/05/1959,,,,,,,,,,,,,,,,,,,
10_Form_DPT-3-06052020-signed.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Form_GNL.2-291114.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Form_MGT-14-050814.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Notice_of_resignation_-13102021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Optional_Attachment-_1_-09122020.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Optional_Attachment-_2_-14032022.pdf,U99999CH1997PTC019687,,ATOP FASTENERS PRIVATE LIMITED,,,,,,,,,['Others'],(speci:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Optional_Attachment-_2_-19092020.pdf,,,,,mohali@atopfasteners.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Form_23B-181209.OCT.pdf,,,Aries Habitat Private Limited,,goud_7059@rediffmail.com,,,10/09/2008,,,,[],,,,,,,,,,ment of correctness given by the auditor,,654257,,,,,,,,,10/09/2008,,,,,,,,,,,,,,,,,,,
11_Form_23B_for_period_010413_to_310314-231113.OCT.pdf,,,Ipas Development Foundation,,srba@in.ey.com,,,13/09/2013,,,,[],,,,,,,,,,ment of correctness given by the auditor,,,,,,,,,,,13/09/2013,,,,,,,,,,,,,,,,,,,
11_Form_BEN_-_2-13092019_signed.pdf,,,ASB PROJECTS LIMITED.,,accounts@ashokcosmosmall.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Form_MGT-14-181014.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Form_MGT-7-02122017_signed.pdf,,,ASB PROJECTS LIMITED.,,accounts@ashokcosmosmall.co,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Form_MGT-7-19042018_signed.pdf,,,ARIES HABITAT PRIVATE LIMITE,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Form_MGT-7-20072018_signed.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Form_MGT-7-22112017_signed.pdf,,,ATOP FASTENERS PRIVATE LIM,,vickyvishal@rediffmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Notice_of_resignation_filed_with_the_company-16032017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Optional_Attachment-_1_-04012022.pdf,,,,,roc.kanpur@mca.gov.in,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Optional_Attachment-_1_-04032022.pdf,U85110TG1990PTC011527,,,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Optional_Attachment-_1_-13102021.pdf,U80900DL2008NPL185369,,,,_idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Optional_Attachment-_3_-14032022.pdf,U99999CH1997PTC019687,,during the year under review.,,,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Optional_Attachment-_3_-19092020.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_Proof_of_Registered_Office_address_Conveyance_Lease_deed_Rent_Agreement_along_with_the_rent_receipts__etc-09122020.pdf,U67190MH1986GO0I04050,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Copies_of_the_utility_bills_as_mentioned_above__not_older_than_two_months_-07122020.pdf,L23201DL1998PLC097614,,,,vk35awasty@gmail.com,,,,,,,[],,,,,,MANJU AWASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Copy_of_resolution_passed_by_the_company-23122021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Declaration_of_the_appointee_director__Managing_director__in_Form_No._DIR-2_-31072021.pdf,,,,,BANERJEES@IPAS.ORG,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Form_23B-121109.OCT.pdf,,,Aries Habitat Private Limited,,goud_7059@rediffmail.com,,,30/09/2009,,,,[],,,,,,,,,,ment of correctness given by the auditor,,654257,,,,,,,,,30/09/2009,,,,,,,,,,,,,,,,,,,
12_Form_ADT-1-12102016_signed.pdf,,,ASB PROJECTS LIMITED.,of the company Sanjay Place AGRA Agra Uttar Pradesh 282002 (c) *,cfo@ashokautosales.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Form_AOC-4-19112016_signed.pdf,,,ASB PROJECTS LIMITED.,,cfo@ashokautosales.com,,The Company,01/09/2016,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,01/09/2016,,,,,,,,,,,,,,,,,,,
12_Form_MGT-7-03122016_signed.pdf,,,ATOP FASTENERS PRIVATE LIM,,vickyvishal@rediffmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Form_MGT-7-12102017_signed.pdf,,,IPAS DEVELOPMENT FOUNDAT,,sethip@ipas.org,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Form_MGT-7-12112016_signed.pdf,,,ARIES HABITAT PRIVATE LIMITE,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Notice_of_resignation_-16032017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Optional_Attachment-_1_-30062021.pdf,U85110TG1990PTC011527,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Optional_Attachment-_4_-14032022.pdf,U99999CH1997PTC019687,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_Optional_Attachment-_4_-19092020.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Approval_letter_for_extension_of_AGM_-24022021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Copy_of_written_consent_given_by_auditor-23122021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Form_2-110214.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Form_23B_for_period_010412_to_310313-040113.OCT.pdf,,,Ipas Development Foundation,,srba@in.ey.com,,,23/11/2012,,,,[],,,,,,,,,,ment of correctness given by the auditor,,,,,,,,,,,23/11/2012,,,,,,,,,,,,,,,,,,,
13_Form_AOC-4-02112016_signed.pdf,,,ARIES HABITAT PRIVATE LIMITED,,arunbombay@gmail.com,,The Company,05/09/2016,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,05/09/2016,,,,,,,,,,,,,,,,,,,
13_Form_AOC-4-23092017_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,sethip@ipas.org,,The Company,25/07/2017,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,25/07/2017,,,,,,,,,,,,,,,,,,,
13_Form_CHG-1-07082020_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,181 INDUSTRIAL AREAPHASE II RAM DARBAR CHANDIGARH Chandigarh 160002 India (c),rakesh@atopfasteners.com,Creation of charge,The Company,18/06/2020,Agreement for Hypothecation of goods and book debts to secure cash credit facility and working capital term loan. (c)* Whether charge is created or modified outside India Yes No,Yes,,['Others'],,No,No,1,Scheduled bank,Others,,JALANDHAR,PUNJAB,Punjab *ISO country code IN,code IN,144001,,compliance@capitalbank.co.in,Yes,AABCC3632Q,,AABCC3632Q,Rupees One Crore only,,18/06/2020,,9.25%,48,,Working Capital Term Loan (WCTL),,,(j) *Extent and operation of the charge 100%,"(a) Date of Creating Security Interest by actual/ constructive deposit of (DD/MM/YYYY) title deeds within bank/ housing finance company (b) Borrower's customer/account number (c) * Rate of interest 9.25% (d) Repayment term (in months) 48 In case of WCTL, The Borrower agrees that amount of the Loan together with the Interest will be paid by him regularly in 48 (including 12 months (e) * Terms of Repayment Moratorium) number of Equated Monthly Installments (the ""EMI"") of Rs.3,19,162/- (Rupees: Three Lakh Nineteen Thousand One Hundred and Sixty Two only). (f) Nature of facility Working Capital Term Loan (WCTL) (g) Date of Disbursement (DD/MM/YYYY) (h) Miscellaneous narrative information As per the Agreement (i) *Margin (j) *Extent and operation of the charge 100%",,,,,,,"1. Industrial Property No.99, Sector 24, Industrial Estate, Faridabad.",,No,
13_Form_CHG-1-17042021_signed.pdf,L17119WB1915PLC002657,,CALEDONIAN JUTE & INDUSTRIES LTD,9 BIPLABI TRAILOKYA MAHARAJSARANI KOLKATA Kolkata West Bengal 700001 India (c),caledonian@dataone.in,Creation of charge,The Company,13/03/2021,Memorandum of Charge/Lien over deposits(LD/2128) Acknowledgement of Recipt of copy of documents(LD/2252) Sanction letter(LD/2100A) Attestation Memo (c)* Whether charge is created or modified outside India Yes No,Yes,,['Others'],Lien on Fixed Deposit,No,No,1,Scheduled bank,THE SOUTH INDIAN BANK LIMITED,,"25, KALI KRISHNA TAGORE STREET",KOLKATA,West Bengal-WB *ISO country code IN,code IN,700007,,br0223@sib.co.in,Yes,AABCT0022F,,AABCT0022F,Rupees Nine Lacs only,,13/03/2021,,Interest @ Present Deposit rate 5.40% + 2% (Spread) i.e 7.40% per,.,,"FSLD (FRESH) - Rs. 9,00,000.00",,,(j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in,"(a) Date of Creating Security Interest by actual/ constructive deposit of title deeds within bank/ housing finance company 13/03/2021 (DD/MM/YYYY) (b) Borrower's customer/account number (c) * Rate of interest Interest @ Present Deposit rate 5.40% + 2% (Spread) i.e 7.40% per annum with monthly rests (d) Repayment term (in months) . On Demand (e) * Terms of Repayment (f) Nature of facility FSLD (FRESH) - Rs. 9,00,000.00 (g) Date of Disbursement (DD/MM/YYYY) (h) Miscellaneous narrative information 10% (i) *Margin (j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in point 13 herein below to secure the maximum amount under the Said Limit fixed at Rs. 900,000.00 together with interest, costs and charges thereon",,,,,,,"KND 0223.101.13926 Dated:- 06/03/2021 for Principal Value of Rs 10,00,000/-",,No,
13_Form_DIR-12-31072021_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,manningv@ipas.org,,,17/12/1966,,,,[],,,,,,,,,,,,,,,,,,,,,17/12/1966,,,,,,,,,,,,,,,,,,,
13_Form_MGT-14-080316.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Form_MGT-7-19112016_signed.pdf,,,ASB PROJECTS LIMITED.,,cfo@ashokautosales.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_List_of_share_holders__debenture_holders_-27022021.pdf,U85110TG1990PTC011527,,,,arunbombay@gqmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Optional_Attachment-_1_-07122020.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_Proof_of_dispatch-16032017.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Acknowledgement_received_from_company-14032017.pdf,,,,,mohali@atopfasteners.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Copy_of_Financial_Staements_duly_authenticated_as_per_section_134__Including_Boards_report__auditors_report_and_other_documents_-29012021.pdf,,,,,,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Copy_of_MGT-8-24022021.pdf,LI99999CH1997PTC01968,,,,esteamya@gmail.com,Modification of charge,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Form_18-261012.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Form_23B_for_period_010413_to_310314-011013.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Form_AOC-4-09092016_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,sethip@ipas.org,,The Company,25/07/2016,,,,[],,,,,,of the subsidiary company,,,,,,,,,,,,,,,25/07/2016,,,,,,,,,,,,,,,,,,,
14_Form_AOC-4-281115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Form_MGT-14-011015.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Form_MGT-7-281115.OCT.pdf,,,Aries Habitat Private Limited,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Form_MGT-7-290116.OCT.pdf,,,ATOP FASTENERS PRIVATE LIM,,vickyvishal@rediffmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Instrument_s__of_creation_or_modification_of_charge_-06082020.pdf,,,,,,,,,,,,"['Immovable property', 'Movable property', 'Book debts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_List_of_share_holders__debenture_holders_-01022021.pdf,U85110UP1994PLC016361,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Optional_Attachment-_1_-31072021.pdf,U80900DL2008NPL185369,,,,idf@ipas.org,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_Proof_of_Registered_Office_address_Conveyance_Lease_deed_Rent_Agreement_along_with_the_rent_receipts__etc-07122020.pdf,U67190MH1986GO0I04050,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Copy_of_MGT-8-16102020.pdf,U80900DL2008NPL185369,,,,cspankajkjha@gmail.com,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Directors_report_as_per_section_134_3_-29012021.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Form_23B_for_period_010411_to_310312-211111.OCT.pdf,,,Ipas Development Foundation,,yogesh.midha@in.ey.com,,,,,,,[],,,,,,,,,,ment of correctness given by the auditor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Form_AOC-4-061115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Form_CHG-1-12022021_signed.pdf,L17119WB1915PLC002657,,CALEDONIAN JUTE & INDUSTRIES LTD,9 BIPLABI TRAILOKYA MAHARAJSARANI KOLKATA Kolkata West Bengal 700001 India (c),caledonian@dataone.in,Creation of charge,The Company,21/11/2020,Credit Facility Agreement(LD/2160) Memorandum of Charge/Lien over deposits(LD/2128) Attestation Memo(LD/2251) Acknowledgement of Recipt of copy of documents(LD/2252) (c)* Whether charge is created or modified outside India Yes No,Yes,,['Others'],Lien on Fixed Deposit,No,No,1,Scheduled bank,THE SOUTH INDIAN BANK LIMITED,,"25, KALI KRISHNA TAGORE STREET",KOLKATA,West Bengal-WB *ISO country code IN,code IN,700007,,br0223@sib.co.in,Yes,AABCT0022F,,AABCT0022F,Rupees Eighty Five Lacs only,,21/11/2020,,Commission/Handling Charges - 0.50% p.a.,.,,"One Time bank Guarantee (Fresh) - Rs. 85,00,000.00",,,(j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in,"(a) Date of Creating Security Interest by actual/ constructive deposit of title deeds within bank/ housing finance company 21/11/2020 (DD/MM/YYYY) (b) Borrower's customer/account number (c) * Rate of interest Commission/Handling Charges - 0.50% p.a. (d) Repayment term (in months) . On Demand (e) * Terms of Repayment (f) Nature of facility One Time bank Guarantee (Fresh) - Rs. 85,00,000.00 (g) Date of Disbursement (DD/MM/YYYY) (h) Miscellaneous narrative information 100% (i) *Margin (j) *Extent and operation of the charge The charge Operates on Fixed Deposit of the Company mentioned in point 13 herein below to secure the maximum amount under the Said Limit fixed at Rs. 85,00,000.00 together with interest, costs and charges thereon",,,,,,,"KND 0223.101.13858 Dated:- 18/09/2020 for Principal Value of Rs 35,00,000/-",,No,
15_Form_DIR-11-14032017_signed.pdf,U99999CH1997PTC019687,,ATOP FASTENERS PRIVATE LIMITED,,vickyvishal@rediffmail.com,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Form_MGT-7-09092016_signed.pdf,,,IPAS DEVELOPMENT FOUNDAT,,sethip@ipas.org,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_Form_MGT-7-281115.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_List_of_share_holders__debenture_holders_-24022021.pdf,U99999CH1997PTC019687,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
